diff_LIX,diff_RIX,diff_REL,diff_KandelMoles,diff_Mesnager,diff_characters_per_word,diff_syll_per_word,diff_words_per_sentence,diff_sentences_per_paragraph,diff_type_token_ratio,diff_directspeech_ratio,diff_characters,diff_syllables,diff_words,diff_wordtypes,diff_sentences,diff_long_words,diff_complex_words,diff_complex_words_mes,diff_tobeverb,diff_auxverb,diff_conjunction,diff_preposition,diff_nominalization,diff_subordination,diff_article,diff_pronoun,diff_interrogative
-13.66137566137566,-2.5,14.168544973544968,15.849470899470916,-4.774250440917108,-0.0052910052910046,-0.0132275132275132,-13.0,0.0,-0.029100529100529,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
-7.428571428571431,-2.0,6.723619047619053,7.060952380952372,-2.984126984126984,-0.1866666666666665,-0.0361904761904763,-4.0,0.0,0.0247619047619047,0.0,-22.0,-7.0,-4.0,-3.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
-6.10526315789474,-1.0,6.848815789473662,6.646052631578982,-2.692982456140351,-0.4967105263157894,-0.0723684210526316,-1.5,0.0,0.0,0.0,-25.0,-7.0,-3.0,-3.0,0.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
-4.19047619047619,-1.0,3.921190476190489,4.259523809523785,-0.6031746031746081,-0.0892857142857144,-0.0119047619047618,-3.0,0.0,0.0297619047619047,0.0,-15.0,-5.0,-3.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
-11.888888888888893,-3.0,25.124999999999982,23.84999999999997,-9.148148148148149,-0.522222222222223,-0.2999999999999998,-3.0,0.0,-0.011111111111111,0.0,-27.0,-10.0,-3.0,-3.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.518518518518519,0.0,-0.8049629629629607,-0.3192592592592547,0.7160493827160508,0.1437037037037036,0.0385185185185186,-2.0,0.0,-0.0029629629629629,0.0,-5.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.300395256916993,-2.0,9.742272727272749,9.213241106719336,0.0619235836627112,-0.3478260869565215,-0.1185770750988142,-1.0,0.0,-0.0019762845849802,0.0,-12.0,-4.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-0.4444444444444499,-1.0,-6.176666666666648,-4.433333333333309,3.555555555555557,0.5277777777777777,0.1666666666666665,-6.0,0.0,-0.0555555555555555,0.0,-23.0,-7.0,-6.0,-7.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
-0.4916387959866171,0.0,0.0911538461538441,0.720903010033453,0.6722408026755851,0.155518394648829,0.040133779264214,-3.0,0.0,0.0,0.0,-9.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
0.6515151515151416,0.0,-1.8730303030302904,-1.3060606060606403,0.8484848484848477,0.1704545454545458,0.0530303030303032,-2.0,0.0,0.0,0.0,-6.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0
